prestito_id,codice_pratica,cliente_id,tipo_prestito,importo_erogato,importo_residuo,tasso_interesse,durata_mesi,rata_mensile,data_erogazione,data_scadenza,prossima_scadenza_rata,finalita,garanzie,stato_prestito,classificazione,giorni_ritardo,filiale_id,created_at,updated_at
12,PR202600000012,16198,Personale,27103.79,16497.96,9.37,69,509.53,2023-10-22,2029-06-22,2026-02-08,Matrimonio,,In corso,Performing,0,20,2026-01-26 23:14:21.322256,2026-01-26 23:14:21.322257
13,PR202600000013,46523,Personale,19977.28,298.17,8.62,67,376.7,2020-08-08,2026-02-08,2026-02-08,Spese mediche,,In corso,Performing,0,27,2026-01-26 23:14:21.325822,2026-01-26 23:14:21.325822
14,PR202600000014,42356,Mutuo,124924.32,52293.9,7.11,215,1029.51,2015-10-14,2033-06-11,2026-02-18,Acquisto seconda casa,Ipoteca di primo grado,In corso,Performing,0,17,2026-01-26 23:14:21.328258,2026-01-26 23:14:21.328258
15,PR202600000015,6494,Mutuo,285659.08,183207.51,8.03,237,2406.46,2019-01-27,2038-07-16,2026-02-19,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,29,2026-01-26 23:14:21.330653,2026-01-26 23:14:21.330654
16,PR202600000016,42629,Personale,25235.5,15834.04,8.06,51,586.06,2024-06-26,2028-09-03,,Liquidità,,Sofferenza,NPL,102,28,2026-01-26 23:14:21.333046,2026-01-26 23:14:21.333046
17,PR202600000017,15912,Personale,26680.95,0.0,7.07,72,455.8,2019-01-11,2024-12-10,,Ristrutturazione casa,,Estinto,Performing,0,16,2026-01-26 23:14:21.335594,2026-01-26 23:14:21.335594
18,PR202600000018,43359,Auto,15722.31,5017.76,6.01,47,376.28,2023-06-05,2027-04-15,2026-02-19,Acquisto auto nuova,Pegno auto,In corso,Performing,0,18,2026-01-26 23:14:21.337899,2026-01-26 23:14:21.337900
19,PR202600000019,49823,Personale,18549.25,0.0,6.6,42,495.83,2021-04-26,2024-10-07,2024-11-06,Ristrutturazione casa,,In corso,Past due,16,12,2026-01-26 23:14:21.340793,2026-01-26 23:14:21.340794
20,PR202600000020,13871,Auto,21082.54,0.0,8.8,36,668.49,2020-09-24,2023-09-09,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,11,2026-01-26 23:14:21.343004,2026-01-26 23:14:21.343004
21,PR202600000021,281,Aziendale,194375.62,22305.4,9.45,61,4024.98,2021-07-25,2026-07-29,2026-01-30,Espansione,,In corso,Past due,61,27,2026-01-26 23:14:21.345386,2026-01-26 23:14:21.345386
22,PR202600000022,5813,Auto,12935.87,0.0,7.58,43,344.49,2022-07-03,2026-01-13,2026-02-12,Acquisto auto usata,Pegno auto,In corso,Past due,25,18,2026-01-26 23:14:21.347700,2026-01-26 23:14:21.347701
23,PR202600000023,25885,Mutuo,53276.3,34009.71,5.25,318,310.6,2016-08-14,2042-09-27,2026-02-23,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,10,2026-01-26 23:14:21.350018,2026-01-26 23:14:21.350018
24,PR202600000024,2343,Personale,22150.46,13989.76,6.94,57,457.24,2024-04-27,2029-01-01,2026-02-16,Ristrutturazione casa,,In corso,Performing,0,14,2026-01-26 23:14:21.352357,2026-01-26 23:14:21.352358
25,PR202600000025,11364,Mutuo,77128.11,66634.49,7.84,147,817.98,2024-05-11,2036-06-07,,Acquisto prima casa,Ipoteca di primo grado,Sofferenza,NPL,302,2,2026-01-26 23:14:21.354548,2026-01-26 23:14:21.354548
26,PR202600000026,9544,Personale,13149.88,0.0,9.28,75,231.7,2017-09-27,2023-11-25,,Matrimonio,,Estinto,Performing,0,28,2026-01-26 23:14:21.357042,2026-01-26 23:14:21.357043
27,PR202600000027,8330,Personale,18233.84,7854.58,8.49,65,350.94,2022-12-21,2028-04-23,2026-02-03,Matrimonio,,In corso,Performing,0,15,2026-01-26 23:14:21.359487,2026-01-26 23:14:21.359488
28,PR202600000028,4413,Mutuo,65838.24,38442.46,4.74,298,376.3,2015-11-01,2040-04-23,2026-02-06,Acquisto seconda casa,Ipoteca di primo grado,In corso,Performing,0,17,2026-01-26 23:14:21.361890,2026-01-26 23:14:21.361891
29,PR202600000029,17913,Mutuo,228644.47,198734.58,8.08,344,1710.26,2022-05-03,2050-08-04,2026-02-11,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,4,2026-01-26 23:14:21.364080,2026-01-26 23:14:21.364080
30,PR202600000030,17724,Personale,25183.32,7082.81,9.26,32,891.19,2024-02-13,2026-09-30,2026-02-02,Liquidità,,In corso,Performing,0,16,2026-01-26 23:14:21.366473,2026-01-26 23:14:21.366473
31,PR202600000031,30508,Personale,21192.97,0.0,5.39,50,474.17,2015-08-26,2019-10-04,,Liquidità,,Estinto,Performing,0,22,2026-01-26 23:14:21.368812,2026-01-26 23:14:21.368812
32,PR202600000032,46696,Aziendale,53948.71,0.0,5.27,48,1249.0,2017-05-24,2021-05-03,,Espansione,,Estinto,Performing,0,13,2026-01-26 23:14:21.371085,2026-01-26 23:14:21.371086
33,PR202600000033,24736,Personale,29418.82,0.0,4.95,40,799.32,2021-07-21,2024-11-02,,Matrimonio,,Sofferenza,NPL,160,18,2026-01-26 23:14:21.373657,2026-01-26 23:14:21.373658
34,PR202600000034,27779,Personale,9256.47,0.0,5.16,65,163.52,2019-09-03,2025-01-04,,Spese mediche,,Sofferenza,NPL,321,14,2026-01-26 23:14:21.376008,2026-01-26 23:14:21.376009
35,PR202600000035,3250,Personale,22329.7,0.0,8.13,29,850.67,2020-12-30,2023-05-19,,Ristrutturazione casa,,Estinto,Performing,0,15,2026-01-26 23:14:21.378251,2026-01-26 23:14:21.378252
36,PR202600000036,47771,Aziendale,57077.43,17123.23,8.18,50,1351.04,2023-02-27,2027-04-07,2026-02-11,Investimenti,,In corso,Performing,0,19,2026-01-26 23:14:21.380466,2026-01-26 23:14:21.380467
37,PR202600000037,31481,Mutuo,217069.0,165778.43,4.5,237,1384.48,2021-05-26,2040-11-12,2026-01-30,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,17,2026-01-26 23:14:21.382743,2026-01-26 23:14:21.382744
38,PR202600000038,16318,Mutuo,177402.24,115196.26,4.72,308,994.36,2017-03-08,2042-06-25,2026-02-19,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,16,2026-01-26 23:14:21.385267,2026-01-26 23:14:21.385268
39,PR202600000039,8271,Auto,16477.66,0.0,8.65,61,334.83,2015-10-14,2020-10-17,,Acquisto auto usata,Pegno auto,Estinto,Performing,0,27,2026-01-26 23:14:21.387575,2026-01-26 23:14:21.387576
40,PR202600000040,25347,Personale,26013.21,0.0,7.19,49,614.17,2018-02-23,2022-03-04,,Spese mediche,,Estinto,Performing,0,20,2026-01-26 23:14:21.390182,2026-01-26 23:14:21.390183
41,PR202600000041,27563,Auto,37774.77,21720.49,8.59,40,1089.39,2024-09-02,2027-12-16,2026-02-24,Acquisto auto nuova,Pegno auto,In corso,Performing,0,31,2026-01-26 23:14:21.392366,2026-01-26 23:14:21.392367
42,PR202600000042,10339,Mutuo,128969.78,65311.62,7.12,156,1269.56,2019-09-26,2032-07-19,2026-02-21,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,17,2026-01-26 23:14:21.394977,2026-01-26 23:14:21.394978
43,PR202600000043,16225,Auto,35454.19,0.0,6.08,59,696.69,2018-05-29,2023-04-03,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,18,2026-01-26 23:14:21.397594,2026-01-26 23:14:21.397595
44,PR202600000044,1763,Mutuo,201350.92,181840.17,5.94,258,1383.52,2023-12-29,2045-03-08,2026-02-16,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,31,2026-01-26 23:14:21.399997,2026-01-26 23:14:21.399998
45,PR202600000045,33790,Personale,13487.26,0.0,8.15,55,294.68,2020-02-19,2024-08-26,,Matrimonio,,Estinto,Performing,0,22,2026-01-26 23:14:21.402129,2026-01-26 23:14:21.402129
46,PR202600000046,10364,Mutuo,134690.92,104208.24,7.64,190,1224.42,2022-07-05,2038-02-11,2026-02-14,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,11,2026-01-26 23:14:21.404511,2026-01-26 23:14:21.404511
47,PR202600000047,45627,Personale,8080.02,0.0,9.16,77,139.17,2016-06-17,2022-10-14,,Matrimonio,,Estinto,Performing,0,17,2026-01-26 23:14:21.406942,2026-01-26 23:14:21.406943
48,PR202600000048,16386,Mutuo,70249.62,51198.88,9.2,236,644.95,2020-10-08,2040-02-26,2026-02-09,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,8,2026-01-26 23:14:21.409366,2026-01-26 23:14:21.409367
49,PR202600000049,9022,Mutuo,233131.5,147674.94,7.55,311,1709.92,2016-09-10,2042-03-28,2026-02-20,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,32,2026-01-26 23:14:21.411560,2026-01-26 23:14:21.411561
50,PR202600000050,14824,Auto,10093.58,0.0,7.63,67,185.48,2017-10-01,2023-04-03,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,9,2026-01-26 23:14:21.414220,2026-01-26 23:14:21.414220
51,PR202600000051,43095,Auto,14737.45,0.0,7.92,40,420.4,2019-08-01,2022-11-13,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,26,2026-01-26 23:14:21.416406,2026-01-26 23:14:21.416406
52,PR202600000052,28178,Personale,15458.88,0.0,5.29,32,519.0,2021-08-23,2024-04-09,,Matrimonio,,Estinto,Performing,0,8,2026-01-26 23:14:21.418628,2026-01-26 23:14:21.418629
53,PR202600000053,15652,Mutuo,290302.25,244168.95,7.94,258,2348.65,2022-09-08,2043-11-17,2026-02-19,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,22,2026-01-26 23:14:21.420864,2026-01-26 23:14:21.420865
54,PR202600000054,42409,Mutuo,88427.71,51467.69,9.09,256,783.59,2017-03-24,2038-04-03,2026-02-05,Acquisto seconda casa,Ipoteca di primo grado,In corso,Past due,42,26,2026-01-26 23:14:21.423324,2026-01-26 23:14:21.423324
55,PR202600000055,48589,Mutuo,148350.56,131100.49,8.75,129,1777.99,2024-10-27,2035-06-02,2026-02-19,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,3,2026-01-26 23:14:21.425605,2026-01-26 23:14:21.425606
56,PR202600000056,33978,Aziendale,136153.98,0.0,4.93,93,1764.52,2015-04-15,2022-12-04,,Investimenti,,Estinto,Performing,0,31,2026-01-26 23:14:21.427908,2026-01-26 23:14:21.427909
57,PR202600000057,13788,Personale,24437.44,18328.08,8.87,80,405.72,2024-05-25,2030-12-20,2026-02-14,Ristrutturazione casa,,In corso,Performing,0,21,2026-01-26 23:14:21.430158,2026-01-26 23:14:21.430159
58,PR202600000058,21700,Aziendale,144239.81,81645.18,9.17,106,1990.7,2022-04-01,2030-12-15,2026-02-09,Espansione,,In corso,Performing,0,26,2026-01-26 23:14:21.432292,2026-01-26 23:14:21.432293
59,PR202600000059,26255,Mutuo,92527.03,60473.02,8.21,280,743.24,2018-01-13,2041-01-12,2026-01-31,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,18,2026-01-26 23:14:21.434381,2026-01-26 23:14:21.434382
60,PR202600000060,32052,Personale,25518.19,16087.55,6.54,46,628.67,2024-08-06,2028-05-17,2026-01-28,Ristrutturazione casa,,In corso,Performing,0,29,2026-01-26 23:14:21.436567,2026-01-26 23:14:21.436568
61,PR202600000061,47479,Personale,27611.14,0.0,6.17,52,606.45,2019-09-10,2023-12-18,,Matrimonio,,Estinto,Performing,0,27,2026-01-26 23:14:21.438897,2026-01-26 23:14:21.438898
62,PR202600000062,35666,Mutuo,134973.4,23664.17,6.52,154,1295.64,2015-08-14,2028-04-07,2026-02-17,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,8,2026-01-26 23:14:21.441386,2026-01-26 23:14:21.441386
63,PR202600000063,28705,Aziendale,47978.08,5158.93,6.75,93,664.03,2019-03-10,2026-10-29,,Capitale circolante,,Sofferenza,NPL,130,25,2026-01-26 23:14:21.444534,2026-01-26 23:14:21.444535
64,PR202600000064,14166,Mutuo,72607.14,69755.5,7.55,331,522.38,2024-12-19,2052-02-26,2026-02-12,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,12,2026-01-26 23:14:21.447174,2026-01-26 23:14:21.447175
65,PR202600000065,6646,Mutuo,296573.76,229927.97,5.46,178,2434.69,2022-09-21,2037-05-05,2026-02-02,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,17,2026-01-26 23:14:21.449781,2026-01-26 23:14:21.449782
66,PR202600000066,14503,Personale,18839.93,0.0,9.16,30,705.01,2015-02-22,2017-08-10,,Matrimonio,,Estinto,Performing,0,29,2026-01-26 23:14:21.453257,2026-01-26 23:14:21.453258
67,PR202600000067,36,Personale,24004.84,0.0,9.05,69,447.53,2020-01-29,2025-09-29,,Spese mediche,,Estinto,Performing,0,10,2026-01-26 23:14:21.456276,2026-01-26 23:14:21.456277
68,PR202600000068,35612,Aziendale,161561.09,64624.44,6.53,70,2781.6,2022-08-14,2028-05-14,2026-02-24,Capitale circolante,,In corso,Performing,0,18,2026-01-26 23:14:21.460462,2026-01-26 23:14:21.460463
69,PR202600000069,39443,Personale,29608.58,0.0,6.93,33,988.09,2020-02-02,2022-10-19,,Liquidità,,Estinto,Performing,0,8,2026-01-26 23:14:21.468392,2026-01-26 23:14:21.468393
70,PR202600000070,32601,Mutuo,116574.88,39783.49,5.23,126,1204.19,2019-03-17,2029-07-22,2026-02-08,Acquisto seconda casa,Ipoteca di primo grado,In corso,Performing,0,1,2026-01-26 23:14:21.471771,2026-01-26 23:14:21.471772
71,PR202600000071,48404,Mutuo,138752.65,79385.84,8.22,201,1273.65,2018-12-24,2035-06-28,2026-02-15,Acquisto seconda casa,Ipoteca di primo grado,In corso,Performing,0,10,2026-01-26 23:14:21.476098,2026-01-26 23:14:21.476100
72,PR202600000072,38568,Auto,33493.19,0.0,7.29,47,821.42,2018-11-30,2022-10-10,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,8,2026-01-26 23:14:21.480675,2026-01-26 23:14:21.480676
73,PR202600000073,26551,Auto,27511.23,0.0,9.1,69,513.61,2019-11-27,2025-07-28,,Acquisto auto usata,Pegno auto,Estinto,Performing,0,20,2026-01-26 23:14:21.483731,2026-01-26 23:14:21.483732
74,PR202600000074,1549,Mutuo,153692.87,51848.2,5.98,166,1363.14,2017-01-13,2030-09-02,2026-02-25,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,4,2026-01-26 23:14:21.486208,2026-01-26 23:14:21.486209
75,PR202600000075,29275,Personale,10829.53,0.0,7.98,25,471.6,2021-02-20,2023-03-12,,Ristrutturazione casa,,Estinto,Performing,0,13,2026-01-26 23:14:21.488478,2026-01-26 23:14:21.488478
76,PR202600000076,22997,Personale,8658.19,5451.45,9.24,54,196.56,2024-05-13,2028-10-19,2026-02-02,Matrimonio,,In corso,Performing,0,21,2026-01-26 23:14:21.491984,2026-01-26 23:14:21.491984
77,PR202600000077,31052,Personale,5798.74,3586.06,8.39,76,98.63,2023-08-27,2029-11-23,2026-02-12,Liquidità,,In corso,Performing,0,10,2026-01-26 23:14:21.494390,2026-01-26 23:14:21.494390
78,PR202600000078,10818,Personale,8412.47,659.8,8.7,51,197.91,2022-02-19,2026-04-29,2026-01-29,Ristrutturazione casa,,In corso,Performing,0,16,2026-01-26 23:14:21.496736,2026-01-26 23:14:21.496736
79,PR202600000079,49846,Auto,38397.24,0.0,5.57,45,947.52,2017-12-13,2021-08-24,,Acquisto auto usata,Pegno auto,Estinto,Performing,0,3,2026-01-26 23:14:21.498918,2026-01-26 23:14:21.498919
80,PR202600000080,23499,Personale,26943.15,0.0,6.78,64,502.79,2015-05-17,2020-08-18,,Matrimonio,,Estinto,Performing,0,17,2026-01-26 23:14:21.501131,2026-01-26 23:14:21.501131
81,PR202600000081,38209,Personale,22965.98,1670.25,7.9,55,499.04,2021-11-13,2026-05-21,2026-02-20,Ristrutturazione casa,,In corso,Performing,0,32,2026-01-26 23:14:21.503229,2026-01-26 23:14:21.503230
82,PR202600000082,32027,Aziendale,74013.68,6024.37,4.71,86,1015.85,2019-07-17,2026-08-09,,Investimenti,,Sofferenza,NPL,186,11,2026-01-26 23:14:21.505661,2026-01-26 23:14:21.505662
83,PR202600000083,18940,Auto,25771.18,0.0,6.33,55,541.02,2015-02-23,2019-08-31,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,28,2026-01-26 23:14:21.508825,2026-01-26 23:14:21.508826
84,PR202600000084,23598,Personale,10470.72,0.0,8.16,30,387.04,2023-01-04,2025-06-22,,Spese mediche,,Estinto,Performing,0,27,2026-01-26 23:14:21.511352,2026-01-26 23:14:21.511353
85,PR202600000085,5869,Mutuo,273985.81,258679.34,8.82,358,2171.89,2024-06-05,2053-10-31,2026-02-25,Acquisto seconda casa,Ipoteca di primo grado,In corso,Performing,0,25,2026-01-26 23:14:21.513532,2026-01-26 23:14:21.513533
86,PR202600000086,32204,Aziendale,73914.96,0.0,6.64,24,3297.45,2017-10-16,2019-10-06,,Investimenti,,Estinto,Performing,0,2,2026-01-26 23:14:21.515698,2026-01-26 23:14:21.515699
87,PR202600000087,8373,Personale,20548.43,0.0,8.59,61,416.91,2018-11-18,2023-11-22,,Matrimonio,,Estinto,Performing,0,30,2026-01-26 23:14:21.517815,2026-01-26 23:14:21.517815
88,PR202600000088,26458,Auto,30884.13,5147.35,5.17,66,538.63,2021-06-27,2026-11-28,2026-02-01,Acquisto auto usata,Pegno auto,In corso,Performing,0,29,2026-01-26 23:14:21.519926,2026-01-26 23:14:21.519926
89,PR202600000089,49008,Aziendale,174171.7,0.0,7.12,34,5672.29,2016-12-09,2019-09-25,,Espansione,,Estinto,Performing,0,7,2026-01-26 23:14:21.522885,2026-01-26 23:14:21.522886
90,PR202600000090,27818,Mutuo,254931.42,143651.83,5.73,126,2697.45,2021-07-09,2031-11-14,2026-02-13,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,12,2026-01-26 23:14:21.525212,2026-01-26 23:14:21.525213
91,PR202600000091,42220,Auto,11533.75,2250.49,5.95,82,171.53,2020-08-02,2027-04-28,2026-02-02,Acquisto auto usata,Pegno auto,In corso,Performing,0,21,2026-01-26 23:14:21.527452,2026-01-26 23:14:21.527453
92,PR202600000092,49907,Mutuo,116848.81,77786.96,6.49,347,746.66,2016-06-29,2044-12-29,,Acquisto prima casa,Ipoteca di primo grado,Sofferenza,NPL,344,32,2026-01-26 23:14:21.529698,2026-01-26 23:14:21.529698
93,PR202600000093,6186,Aziendale,157927.23,0.0,6.82,43,4149.83,2015-08-14,2019-02-24,,Capitale circolante,,Estinto,Performing,0,24,2026-01-26 23:14:21.531815,2026-01-26 23:14:21.531816
94,PR202600000094,47293,Auto,18258.73,0.0,7.99,74,313.31,2016-06-24,2022-07-23,,Acquisto auto usata,Pegno auto,Estinto,Performing,0,22,2026-01-26 23:14:21.533922,2026-01-26 23:14:21.533923
95,PR202600000095,27427,Personale,24871.82,0.0,8.75,71,450.01,2016-09-03,2022-07-04,,Matrimonio,,Estinto,Performing,0,19,2026-01-26 23:14:21.536802,2026-01-26 23:14:21.536803
96,PR202600000096,10402,Aziendale,100318.82,85665.51,5.38,89,1369.45,2024-12-07,2032-03-30,2026-01-31,Espansione,,In corso,Performing,0,24,2026-01-26 23:14:21.539773,2026-01-26 23:14:21.539774
97,PR202600000097,17535,Personale,27346.67,0.0,7.51,74,462.86,2017-12-12,2024-01-10,,Liquidità,,Estinto,Performing,0,28,2026-01-26 23:14:21.542060,2026-01-26 23:14:21.542061
98,PR202600000098,14215,Personale,16912.48,0.0,4.53,40,456.3,2018-01-02,2021-04-16,,Liquidità,,Estinto,Performing,0,14,2026-01-26 23:14:21.544164,2026-01-26 23:14:21.544164
99,PR202600000099,44899,Mutuo,213775.33,92635.98,6.66,210,1726.39,2016-03-30,2033-06-29,2026-02-06,Surroga mutuo,Ipoteca di primo grado,In corso,Performing,0,18,2026-01-26 23:14:21.546332,2026-01-26 23:14:21.546332
100,PR202600000100,28092,Personale,5573.99,0.0,4.61,70,90.96,2017-02-09,2022-11-10,,Spese mediche,,Estinto,Performing,0,21,2026-01-26 23:14:21.548600,2026-01-26 23:14:21.548600
101,PR202600000101,40166,Auto,22828.11,0.0,5.21,57,453.0,2019-09-04,2024-05-10,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,9,2026-01-26 23:14:21.550820,2026-01-26 23:14:21.550821
102,PR202600000102,42192,Auto,39830.6,0.0,6.44,71,676.05,2015-09-14,2021-07-14,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,8,2026-01-26 23:14:21.553054,2026-01-26 23:14:21.553055
103,PR202600000103,20779,Mutuo,139241.77,116963.09,7.93,175,1344.76,2023-10-04,2038-02-17,2026-02-20,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,22,2026-01-26 23:14:21.555317,2026-01-26 23:14:21.555318
104,PR202600000104,16763,Personale,22298.7,0.0,7.68,65,420.45,2020-07-27,2025-11-28,,Liquidità,,Estinto,Performing,0,32,2026-01-26 23:14:21.558526,2026-01-26 23:14:21.558527
105,PR202600000105,10261,Auto,10419.81,0.0,9.05,57,225.58,2017-12-28,2022-09-03,,Acquisto auto nuova,Pegno auto,Estinto,Performing,0,28,2026-01-26 23:14:21.561097,2026-01-26 23:14:21.561097
106,PR202600000106,38120,Personale,13910.41,0.0,7.5,30,509.98,2020-02-21,2022-08-09,,Matrimonio,,Estinto,Performing,0,32,2026-01-26 23:14:21.563305,2026-01-26 23:14:21.563305
107,PR202600000107,5082,Mutuo,273576.11,4412.52,4.59,124,2774.97,2016-01-18,2026-03-26,2026-02-24,Acquisto seconda casa,Ipoteca di primo grado,In corso,Performing,0,10,2026-01-26 23:14:21.565457,2026-01-26 23:14:21.565458
108,PR202600000108,8888,Mutuo,105582.59,94421.0,5.09,350,579.87,2022-12-20,2051-09-19,2026-02-02,Acquisto seconda casa,Ipoteca di primo grado,In corso,Performing,0,22,2026-01-26 23:14:21.567718,2026-01-26 23:14:21.567719
109,PR202600000109,35997,Auto,27196.57,16680.56,7.88,75,460.42,2023-08-23,2029-10-20,2026-02-08,Acquisto auto nuova,Pegno auto,In corso,Performing,0,2,2026-01-26 23:14:21.569999,2026-01-26 23:14:21.570000
110,PR202600000110,6905,Mutuo,168619.31,146761.25,7.38,216,1413.03,2023-10-02,2041-06-29,2026-02-18,Surroga mutuo,Ipoteca di primo grado,In corso,Past due,20,5,2026-01-26 23:14:21.572214,2026-01-26 23:14:21.572214
111,PR202600000111,45512,Auto,26541.8,6303.68,5.11,80,392.22,2021-01-03,2027-07-31,2026-02-06,Acquisto auto usata,Pegno auto,In corso,Performing,0,31,2026-01-26 23:14:21.574477,2026-01-26 23:14:21.574478
112,PR202600000112,29885,Auto,37390.14,0.0,8.15,79,613.18,2015-06-14,2021-12-09,,Acquisto auto usata,Pegno auto,Estinto,Performing,0,18,2026-01-26 23:14:21.576671,2026-01-26 23:14:21.576671
113,PR202600000113,21041,Personale,14392.35,0.0,7.97,84,224.08,2015-03-24,2022-02-15,,Liquidità,,Estinto,Performing,0,10,2026-01-26 23:14:21.578802,2026-01-26 23:14:21.578802
114,PR202600000114,22400,Aziendale,106608.39,18813.25,6.9,85,1588.88,2020-04-25,2027-04-19,2026-02-23,Capitale circolante,,In corso,Performing,0,17,2026-01-26 23:14:21.581009,2026-01-26 23:14:21.581009
115,PR202600000115,23335,Mutuo,210548.01,135816.46,5.86,324,1295.93,2016-07-29,2043-03-10,2026-02-07,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,13,2026-01-26 23:14:21.583316,2026-01-26 23:14:21.583317
116,PR202600000116,42088,Personale,28449.9,0.0,7.14,71,492.41,2020-01-18,2025-11-17,,Ristrutturazione casa,,Sofferenza,NPL,299,10,2026-01-26 23:14:21.585725,2026-01-26 23:14:21.585725
117,PR202600000117,19527,Auto,28523.27,18223.2,6.67,72,481.76,2023-11-16,2029-10-15,2026-02-03,Acquisto auto nuova,Pegno auto,In corso,Performing,0,5,2026-01-26 23:14:21.587923,2026-01-26 23:14:21.587924
118,PR202600000118,25201,Mutuo,258831.39,203243.44,8.1,298,2018.66,2020-10-02,2045-03-25,2026-02-03,Acquisto prima casa,Ipoteca di primo grado,In corso,Performing,0,23,2026-01-26 23:14:21.590441,2026-01-26 23:14:21.590442
119,PR202600000119,22485,Personale,14017.32,0.0,8.79,43,381.18,2015-04-23,2018-11-03,,Ristrutturazione casa,,Estinto,Performing,0,13,2026-01-26 23:14:21.592573,2026-01-26 23:14:21.592574
120,PR202600000120,12048,Personale,17031.53,0.0,8.83,78,287.77,2015-09-24,2022-02-19,,Ristrutturazione casa,,Estinto,Performing,0,14,2026-01-26 23:14:21.594681,2026-01-26 23:14:21.594682
