filiale_id,codice_filiale,nome_filiale,indirizzo,comune,provincia,cap,telefono,email,tipo_filiale,numero_dipendenti,data_apertura,stato,created_at,updated_at
19,BTME019,Banca Trinacria - Messina,Via Roma 96,Messina,ME,92652,0919897858,messina@bancatrinacria.it,Principale,3,2018-05-11,Attiva,2026-01-26 22:18:17.162790,2026-01-26 22:18:17.162791
20,BTME020,Banca Trinacria - Milazzo,Via Vittorio Emanuele 29,Milazzo,ME,95999,0916159230,milazzo@bancatrinacria.it,Distaccata,3,2015-04-29,Attiva,2026-01-26 22:18:17.162816,2026-01-26 22:18:17.162817
21,BTME021,Banca Trinacria - Messina,Via Vittorio Emanuele 22,Messina,ME,97935,0912161193,messina@bancatrinacria.it,Sportello,8,2017-12-26,Attiva,2026-01-26 22:18:17.162841,2026-01-26 22:18:17.162842
22,BTME022,Banca Trinacria - Messina,Via Garibaldi 141,Messina,ME,92371,0919852897,messina@bancatrinacria.it,Distaccata,8,2018-05-27,Attiva,2026-01-26 22:18:17.162866,2026-01-26 22:18:17.162867
23,BTME023,Banca Trinacria - Milazzo,Via Roma 80,Milazzo,ME,96787,0917264956,milazzo@bancatrinacria.it,Distaccata,5,2017-11-25,Attiva,2026-01-26 22:18:17.162896,2026-01-26 22:18:17.162897
24,BTSR024,Banca Trinacria - Noto,Via Vittorio Emanuele 64,Noto,SR,93165,0916672134,noto@bancatrinacria.it,Principale,3,2018-04-19,Attiva,2026-01-26 22:18:17.162924,2026-01-26 22:18:17.162925
25,BTSR025,Banca Trinacria - Siracusa,Via Roma 2,Siracusa,SR,91824,0911987737,siracusa@bancatrinacria.it,Sportello,3,2015-05-19,Attiva,2026-01-26 22:18:17.162950,2026-01-26 22:18:17.162951
26,BTSR026,Banca Trinacria - Siracusa,Via Vittorio Emanuele 132,Siracusa,SR,93385,0919143903,siracusa@bancatrinacria.it,Distaccata,3,2018-01-09,Attiva,2026-01-26 22:18:17.162976,2026-01-26 22:18:17.162977
27,BTTP027,Banca Trinacria - Trapani,Via Garibaldi 63,Trapani,TP,97926,0917829332,trapani@bancatrinacria.it,Principale,9,2015-07-13,Attiva,2026-01-26 22:18:17.163005,2026-01-26 22:18:17.163007
28,BTTP028,Banca Trinacria - Trapani,Via Garibaldi 91,Trapani,TP,96520,0918835373,trapani@bancatrinacria.it,Sportello,8,2019-02-02,Attiva,2026-01-26 22:18:17.163031,2026-01-26 22:18:17.163032
29,BTAG029,Banca Trinacria - Agrigento,Via Vittorio Emanuele 16,Agrigento,AG,96845,0916692553,agrigento@bancatrinacria.it,Principale,6,2016-05-24,Attiva,2026-01-26 22:18:17.163060,2026-01-26 22:18:17.163061
30,BTAG030,Banca Trinacria - Agrigento,Via Garibaldi 36,Agrigento,AG,96287,0915673212,agrigento@bancatrinacria.it,Distaccata,5,2016-05-26,Attiva,2026-01-26 22:18:17.163086,2026-01-26 22:18:17.163087
31,BTRG031,Banca Trinacria - Ragusa,Via Garibaldi 141,Ragusa,RG,91151,0911247595,ragusa@bancatrinacria.it,Principale,5,2019-03-24,Attiva,2026-01-26 22:18:17.163115,2026-01-26 22:18:17.163117
32,BTCL032,Banca Trinacria - Caltanissetta,Via Roma 105,Caltanissetta,CL,97592,0914586084,caltanissetta@bancatrinacria.it,Principale,15,2015-05-01,Attiva,2026-01-26 22:18:17.163141,2026-01-26 22:18:17.163142
